"","geneNames"
"1078","AL355306.2"
"1079","PRMT6"
"1080","NTNG1"
"1081","VAV3"
"1082","VAV3-AS1"
"1083","AL390036.1"
"1084","SLC25A24"
"1085","AL359258.2"
"1086","FAM102B"
"1087","HENMT1"
"1088","PRPF38B"
"1089","FNDC7"
"1090","STXBP3"
"1091","AKNAD1"
"1092","AL449266.1"
"1093","GPSM2"
"1094","CLCC1"
"1095","WDR47"
"1096","TAF13"
"1097","AL356488.3"
"1098","TMEM167B"
"1099","AL356488.2"
"1100","C1orf194"
"1101","KIAA1324"
"1102","SARS"
"1103","CELSR2"
"1104","PSRC1"
"1105","MYBPHL"
"1106","SORT1"
"1107","PSMA5"
"1108","SYPL2"
"1109","ATXN7L2"
"1110","CYB561D1"
"1111","AMIGO1"
"1112","GPR61"
"1113","AL355310.3"
"1114","GNAI3"
"1115","GNAT2"
"1116","AMPD2"
"1117","AL355310.2"
"1118","GSTM4"
"1119","GSTM2"
"1120","GSTM1"
"1121","AC000032.1"
"1122","GSTM5"
"1123","GSTM3"
"1124","AL450468.1"
"1125","AL450468.2"
"1126","CSF1"
"1127","AHCYL1"
"1128","STRIP1"
"1129","AL160006.1"
"1130","ALX3"
"1131","LINC02586"
"1132","KCNC4"
"1133","RBM15-AS1"
"1134","RBM15"
"1135","SLC16A4"
"1136","AL355488.1"
"1137","LAMTOR5"
"1138","PROK1"
"1139","KCNA2"
"1140","AL365361.1"
"1141","KCNA3"
"1142","CD53"
"1143","AL360270.1"
"1144","LRIF1"
"1145","AL360270.3"
"1146","DRAM2"
"1147","CEPT1"
"1148","AL355816.1"
"1149","AL355816.2"
"1150","DENND2D"
"1151","CHI3L2"
"1152","PIFO"
"1153","OVGP1"
"1154","WDR77"
"1155","ATP5PB"
"1156","C1orf162"
"1157","TMIGD3"
"1158","ADORA3"
"1159","RAP1A"
"1160","LINC01160"
"1161","INKA2"
"1162","DDX20"
"1163","KCND3"
"1164","LINC01750"
"1165","CTTNBP2NL"
"1166","WNT2B"
"1167","AL354760.1"
"1168","ST7L"
"1169","CAPZA1"
"1170","MOV10"
"1171","AL603832.1"
"1172","RHOC"
"1173","PPM1J"
"1174","AL603832.2"
"1175","AL390729.1"
"1176","SLC16A1"
"1177","SLC16A1-AS1"
"1178","AL357055.3"
"1179","LRIG2"
"1180","MAGI3"
"1181","PHTF1"
"1182","RSBN1"
"1183","AL137856.1"
"1184","PTPN22"
"1185","AP4B1-AS1"
"1186","BCL2L15"
"1187","AP4B1"
"1188","DCLRE1B"
"1189","HIPK1-AS1"
"1190","HIPK1"
"1191","OLFML3"
"1192","SYT6"
"1193","TRIM33"
"1194","BCAS2"
"1195","DENND2C"
"1196","NRAS"
"1197","CSDE1"
"1198","SIKE1"
"1199","TSPAN2"
"1200","LINC01765"
"1201","VANGL1"
"1202","SLC22A15"
"1203","MAB21L3"
"1204","ATP1A1"
"1205","LINC01762"
"1206","AL390066.1"
"1207","CD58"
"1208","IGSF3"
"1209","CD2"
"1210","AL157904.1"
"1211","PTGFRN"
"1212","CD101"
"1213","AL445231.1"
"1214","TTF2"
"1215","TRIM45"
"1216","AL358072.1"
"1217","MAN1A2"
"1218","AL157902.1"
"1219","TENT5C"
"1220","GDAP2"
"1221","WDR3"
"1222","SPAG17"
"1223","TBX15"
"1224","WARS2"
"1225","WARS2-IT1"
"1226","AL359915.2"
"1227","LINC01780"
"1228","ZNF697"
"1229","PHGDH"
"1230","REG4"
"1231","ADAM30"
"1232","NOTCH2"
"1233","AC245008.1"
"1234","SEC22B"
"1235","NBPF26"
"1236","LINC00623"
"1237","FCGR1B"
